2024-12-05 02:35:54,281 p=1579080 u=root n=ansible | TASK [echo -n > output.log] *************************************************************************************************************************************************************************
2024-12-05 02:55:06,791 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.16.2)
2024-12-05 02:55:07,369 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.16.3)
2024-12-05 02:55:07,956 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.0)
2024-12-05 02:55:08,489 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.1)
2024-12-05 02:55:08,997 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.2)
2024-12-05 02:55:09,536 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.3)
2024-12-05 02:55:10,048 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.4)
2024-12-05 02:55:10,531 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.5)
2024-12-05 02:55:11,008 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.6)
2024-12-05 02:55:11,486 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.7)
2024-12-05 02:55:11,965 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.8)
2024-12-05 02:55:12,443 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.9)
2024-12-05 02:55:12,922 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.10)
2024-12-05 02:55:13,403 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.11)
2024-12-05 02:55:13,928 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.12)
2024-12-05 02:55:14,404 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.13)
2024-12-05 02:55:14,884 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.14)
2024-12-05 02:55:15,390 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.15)
2024-12-05 02:55:15,891 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.16)
2024-12-05 02:55:16,383 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.17)
2024-12-05 02:55:16,858 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.18)
2024-12-05 02:55:17,350 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.19)
2024-12-05 02:55:17,817 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.20)
2024-12-05 02:55:18,307 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.21)
2024-12-05 02:55:18,800 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.0)
2024-12-05 02:55:19,282 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.1)
2024-12-05 02:55:19,762 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.2)
2024-12-05 02:55:20,236 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.3)
2024-12-05 02:55:20,731 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.4)
2024-12-05 02:55:21,214 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.19.2)
2024-12-05 02:55:21,714 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.19.3)
2024-12-05 02:55:22,201 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.19.4)
2024-12-05 02:55:22,704 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.19.5)
2024-12-05 02:55:23,182 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.20.0)
2024-12-05 02:55:23,656 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.20.1)
2024-12-05 02:55:24,161 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.20.2)
2024-12-05 02:55:24,652 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.20.3)
2024-12-05 02:55:25,131 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.0)
2024-12-05 02:55:25,601 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.1)
2024-12-05 02:55:26,074 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.2)
2024-12-05 02:55:26,566 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.3)
2024-12-05 02:55:27,067 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.4)
2024-12-05 02:55:27,553 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.5)
2024-12-05 02:55:28,088 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.6)
2024-12-05 02:55:28,585 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.7)
2024-12-05 02:55:29,054 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.8)
2024-12-05 02:55:29,544 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.9)
2024-12-05 02:55:30,019 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.10)
2024-12-05 02:55:30,531 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.11)
2024-12-05 02:55:31,028 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.12)
2024-12-05 02:55:31,501 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.13)
2024-12-05 02:55:31,972 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.14)
2024-12-05 02:55:32,458 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.15)
2024-12-05 02:55:32,940 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.16)
2024-12-05 02:55:33,415 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.17)
2024-12-05 02:55:33,908 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.18)
2024-12-05 02:55:34,381 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.19)
2024-12-05 02:55:34,873 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.20)
2024-12-05 02:55:35,348 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.21)
2024-12-05 02:55:35,833 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.22)
2024-12-05 02:55:36,322 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.23)
2024-12-05 02:55:36,871 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy Dockerfile from template to each version directory] ****************************************************************************************************************
2024-12-05 02:55:36,871 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.0)
2024-12-05 02:55:37,349 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.1)
2024-12-05 02:55:37,818 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.2)
2024-12-05 02:55:38,327 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.3)
2024-12-05 02:55:38,809 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.4)
2024-12-05 02:55:39,310 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.5)
2024-12-05 02:55:39,799 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.0)
2024-12-05 02:55:40,285 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.1)
2024-12-05 02:55:40,761 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.2)
2024-12-05 02:55:41,260 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.3)
2024-12-05 02:55:41,739 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.4)
2024-12-05 02:55:42,220 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.0)
2024-12-05 02:55:42,702 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.1)
2024-12-05 02:55:43,184 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.2)
2024-12-05 02:55:43,697 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.3)
2024-12-05 02:55:44,223 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.4)
2024-12-05 02:55:44,707 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.5)
2024-12-05 02:55:45,227 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.6)
2024-12-05 02:55:45,760 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.3.0)
2024-12-05 02:55:46,239 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.3.1)
2024-12-05 02:55:46,715 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.3.2)
2024-12-05 02:55:47,209 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.4.0)
2024-12-05 02:55:47,684 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.4.1)
2024-12-05 02:55:48,161 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.4.2)
2024-12-05 02:55:48,631 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.5.0)
2024-12-05 02:55:49,126 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.5.1)
2024-12-05 02:55:49,602 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.5.2)
2024-12-05 02:55:50,078 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.0)
2024-12-05 02:55:50,554 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.1)
2024-12-05 02:55:51,035 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.2)
2024-12-05 02:55:51,559 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.3)
2024-12-05 02:55:52,067 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.4)
2024-12-05 02:55:52,553 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.5)
2024-12-05 02:55:53,043 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.6)
2024-12-05 02:55:53,523 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.7)
2024-12-05 02:55:54,027 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.8)
2024-12-05 02:55:54,517 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.9)
2024-12-05 02:55:55,000 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.10)
2024-12-05 02:55:55,478 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.11)
2024-12-05 02:55:55,955 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.12)
2024-12-05 02:55:56,434 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.13)
2024-12-05 02:55:56,905 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.14)
2024-12-05 02:55:57,380 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.15)
2024-12-05 02:55:57,861 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.16)
2024-12-05 02:55:58,368 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.17)
2024-12-05 02:55:58,850 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.19)
2024-12-05 02:55:59,346 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.20)
2024-12-05 02:55:59,816 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.21)
2024-12-05 02:56:00,330 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.22)
2024-12-05 02:56:00,822 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.23)
2024-12-05 02:56:01,314 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.7.0)
2024-12-05 02:56:01,872 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.7.1)
2024-12-05 02:56:02,513 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.8.0)
2024-12-05 02:56:03,041 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.8.1)
2024-12-05 02:56:03,571 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.9.0)
2024-12-05 02:56:04,070 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.9.1)
2024-12-05 02:56:04,584 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.10.0)
2024-12-05 02:56:05,094 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.10.1)
2024-12-05 02:56:05,584 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.11.1)
2024-12-05 02:56:06,139 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.11.2)
2024-12-05 02:56:06,684 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.12.0)
2024-12-05 02:56:07,221 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.12.1)
2024-12-05 02:56:07,753 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.13.0)
2024-12-05 02:56:08,285 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.13.1)
2024-12-05 02:56:08,812 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.14.0)
2024-12-05 02:56:09,340 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.14.1)
2024-12-05 02:56:09,827 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.14.2)
2024-12-05 02:56:10,360 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.15.0)
2024-12-05 02:56:10,881 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.15.1)
2024-12-05 02:56:11,391 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.15.2)
2024-12-05 02:56:11,897 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.15.3)
2024-12-05 02:56:12,386 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.16.0)
2024-12-05 02:56:12,903 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.16.1)
2024-12-05 02:56:13,403 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.16.2)
2024-12-05 02:56:13,912 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.16.3)
2024-12-05 02:56:14,412 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.0)
2024-12-05 02:56:14,903 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.1)
2024-12-05 02:56:15,426 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.2)
2024-12-05 02:56:15,954 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.3)
2024-12-05 02:56:16,431 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.4)
2024-12-05 02:56:16,904 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.5)
2024-12-05 02:56:17,388 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.6)
2024-12-05 02:56:17,861 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.7)
2024-12-05 02:56:18,330 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.8)
2024-12-05 02:56:18,832 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.9)
2024-12-05 02:56:19,328 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.10)
2024-12-05 02:56:19,798 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.11)
2024-12-05 02:56:20,275 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.12)
2024-12-05 02:56:20,763 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.13)
2024-12-05 02:56:21,253 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.14)
2024-12-05 02:56:21,727 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.15)
2024-12-05 02:56:22,213 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.16)
2024-12-05 02:56:22,691 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.17)
2024-12-05 02:56:23,162 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.18)
2024-12-05 02:56:23,636 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.19)
2024-12-05 02:56:24,131 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.20)
2024-12-05 02:56:24,619 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.21)
2024-12-05 02:56:25,086 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.0)
2024-12-05 02:56:25,570 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.1)
2024-12-05 02:56:26,072 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.2)
2024-12-05 02:56:26,571 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.3)
2024-12-05 02:56:27,057 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.4)
2024-12-05 02:56:27,552 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.19.2)
2024-12-05 02:56:28,077 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.19.3)
2024-12-05 02:56:28,562 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.19.4)
2024-12-05 02:56:29,032 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.19.5)
2024-12-05 02:56:29,537 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.20.0)
2024-12-05 02:56:30,011 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.20.1)
2024-12-05 02:56:30,515 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.20.2)
2024-12-05 02:56:30,986 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.20.3)
2024-12-05 02:56:31,498 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.0)
2024-12-05 02:56:31,981 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.1)
2024-12-05 02:56:32,478 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.2)
2024-12-05 02:56:33,015 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.3)
2024-12-05 02:56:33,513 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.4)
2024-12-05 02:56:33,991 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.5)
2024-12-05 02:56:34,502 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.6)
2024-12-05 02:56:34,976 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.7)
2024-12-05 02:56:35,463 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.8)
2024-12-05 02:56:35,942 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.9)
2024-12-05 02:56:36,439 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.10)
2024-12-05 02:56:36,928 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.11)
2024-12-05 02:56:37,421 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.12)
2024-12-05 02:56:37,920 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.13)
2024-12-05 02:56:38,424 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.14)
2024-12-05 02:56:38,904 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.15)
2024-12-05 02:56:39,388 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.16)
2024-12-05 02:56:39,875 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.17)
2024-12-05 02:56:40,360 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.18)
2024-12-05 02:56:40,839 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.19)
2024-12-05 02:56:41,323 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.20)
2024-12-05 02:56:41,805 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.21)
2024-12-05 02:56:42,290 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.22)
2024-12-05 02:56:42,777 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.23)
2024-12-05 02:56:43,332 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy Dockerfile.jdk11 from template to each version directory] **********************************************************************************************************
2024-12-05 02:56:43,332 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.0)
2024-12-05 02:56:43,819 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.1)
2024-12-05 02:56:44,300 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.2)
2024-12-05 02:56:44,797 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.3)
2024-12-05 02:56:45,292 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.4)
2024-12-05 02:56:45,770 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.5)
2024-12-05 02:56:46,246 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.0)
2024-12-05 02:56:46,724 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.1)
